userId,age,gender,EducationalLevel,artExperience,photographyExperience,personality-E,personality-A,personality-N,personality-O,personality-C
Be49eb9,18-21,male,university,beginner,beginner,10,4,2,8,10
B3c80a6,18-21,male,university,beginner,competent,10,8,6,10,6
B375f2b,18-21,male,university,beginner,beginner,6,8,4,10,10
B7c3bd0,26-29,male,junior_college,beginner,beginner,6,8,4,8,10
Bd5663f,22-25,female,junior_college,beginner,competent,6,8,6,8,6
B5cc6be,22-25,female,university,beginner,beginner,8,8,2,10,10
B80a53e,22-25,female,university,competent,competent,6,10,8,6,10
Babe56b,22-25,female,junior_college,beginner,beginner,8,8,2,10,10
B21f06e,18-21,female,junior_college,beginner,competent,8,8,4,10,8
B857766,18-21,male,technical_secondary_school,beginner,beginner,4,6,6,8,4
B52ee4e,26-29,male,university,proficient,proficient,4,10,2,8,10
B63de7c,30-34,female,junior_college,proficient,competent,6,8,6,10,8
B084334,22-25,female,junior_college,proficient,proficient,8,10,4,10,10
Be8ce87,18-21,female,junior_college,competent,proficient,8,10,4,8,8
B15cc40,22-25,male,junior_college,beginner,competent,4,8,4,6,8
B1d8d82,22-25,male,university,beginner,beginner,8,8,6,10,6
Bb96bd8,22-25,female,junior_college,beginner,proficient,6,6,4,10,6
Bef7737,18-21,female,junior_college,competent,competent,6,4,4,8,10
B4b85eb,35-40,female,junior_college,beginner,beginner,4,6,2,8,8
B5045a6,22-25,female,university,beginner,competent,8,10,2,10,6
B65389f,22-25,female,junior_college,competent,competent,6,10,4,6,8
Bb15fba,26-29,female,senior_high_school,competent,competent,6,8,4,10,8
B9401ce,18-21,male,junior_college,beginner,competent,6,8,2,8,10
B988ea5,35-40,female,technical_secondary_school,competent,competent,8,8,6,8,10
Bc87604,22-25,male,junior_college,competent,competent,4,4,4,6,8
B991984,22-25,female,junior_college,competent,beginner,10,8,4,10,8
Bbc0684,22-25,female,junior_college,beginner,beginner,8,8,4,6,8
Beb3377,18-21,female,university,expert,competent,6,8,6,4,6
B27bb82,18-21,female,university,proficient,beginner,8,10,4,10,10
Bd48d42,26-29,female,university,beginner,beginner,8,8,6,8,6
Bdc76de,22-25,male,university,proficient,beginner,4,10,2,10,10
B635dc9,26-29,female,junior_college,beginner,beginner,8,6,6,10,8
Bde44e3,18-21,female,junior_college,beginner,competent,6,10,4,10,6
B84c4b8,18-21,male,junior_college,beginner,competent,8,10,2,10,8
